PING 192.168.58.1 (192.168.58.1) 56(84) bytes of data.
64 bytes from 192.168.58.1: icmp_seq=82 ttl=64 time=0.409 ms
64 bytes from 192.168.58.1: icmp_seq=83 ttl=64 time=0.539 ms
64 bytes from 192.168.58.1: icmp_seq=84 ttl=64 time=0.501 ms
64 bytes from 192.168.58.1: icmp_seq=85 ttl=64 time=0.484 ms
64 bytes from 192.168.58.1: icmp_seq=86 ttl=64 time=0.569 ms
64 bytes from 192.168.58.1: icmp_seq=87 ttl=64 time=0.835 ms
64 bytes from 192.168.58.1: icmp_seq=88 ttl=64 time=0.790 ms
64 bytes from 192.168.58.1: icmp_seq=89 ttl=64 time=0.479 ms
64 bytes from 192.168.58.1: icmp_seq=90 ttl=64 time=0.660 ms
64 bytes from 192.168.58.1: icmp_seq=91 ttl=64 time=0.864 ms
64 bytes from 192.168.58.1: icmp_seq=92 ttl=64 time=0.412 ms
64 bytes from 192.168.58.1: icmp_seq=93 ttl=64 time=0.501 ms
64 bytes from 192.168.58.1: icmp_seq=94 ttl=64 time=0.671 ms
64 bytes from 192.168.58.1: icmp_seq=95 ttl=64 time=0.276 ms
64 bytes from 192.168.58.1: icmp_seq=96 ttl=64 time=0.508 ms
64 bytes from 192.168.58.1: icmp_seq=97 ttl=64 time=0.511 ms
64 bytes from 192.168.58.1: icmp_seq=98 ttl=64 time=0.800 ms
64 bytes from 192.168.58.1: icmp_seq=99 ttl=64 time=0.282 ms
64 bytes from 192.168.58.1: icmp_seq=100 ttl=64 time=0.670 ms

--- 192.168.58.1 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100885ms
rtt min/avg/max/mdev = 0.262/0.604/0.951/0.157 ms
